|        Name | active |           RA |          Dec |  Discovery |       V |  date_Vmax |  Vmax |           Type |         z | asassn | flcogt | fnorth | fswift | psf | stop_all |
|     2019plq |      1 | 23:33:17.184 | -02:42:09.72 | 2019-09-05 |    19.7 |        --- |  99.9 |            unk |    0.0076 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019pjs |      1 | 18:04:40.344 | +21:38:04.20 | 2019-09-04 |    17.3 |        --- |  99.9 |             II |  0.007415 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019oys |      1 | 07:07:59.257 | +31:39:55.32 | 2019-08-28 |   19.14 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019ovu |      1 | 02:10:05.837 | -32:56:19.86 | 2019-08-28 |    17.2 |        --- |  99.9 |        Ia-02cx |  0.011174 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019ovr |      1 | 07:28:50.264 | +35:32:51.24 | 2019-08-28 | 18.1302 |        --- |  99.9 |             II |  0.013059 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019orw |      1 | 07:01:50.110 | +04:55:10.13 | 2019-08-23 |   17.84 |        --- |  99.9 |            unk |  0.011825 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019osl |      1 | 04:38:54.332 | +18:50:10.23 | 2019-08-26 |  16.801 |        --- |  99.9 |             II |  0.010857 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019ngp |      1 | 23:10:33.312 | +10:41:33.99 | 2019-08-11 |  17.087 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019nkf |      1 | 10:40:58.870 | +65:30:55.30 | 2019-08-12 |    16.0 |        --- |  99.9 |            unk |  0.010887 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019myc |      1 | 01:53:11.401 | +20:40:11.29 | 2019-08-08 | 19.0743 |        --- |  99.9 |            unk |     0.072 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019muj |      1 | 02:26:18.550 | -09:50:08.99 | 2019-08-07 |    17.4 |        --- |  99.9 |            Iax |  0.007035 |      1 |      1 |      0 |      0 |   1 |        0 |
|     2019mst |      1 | 00:10:21.212 | -18:15:27.77 | 2019-08-04 |   21.79 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019mqv |      1 | 02:51:37.839 | -16:39:38.89 | 2019-08-03 |    19.7 |        --- |  99.9 |             II |     0.031 |      0 |      1 |      0 |      0 |   1 |        0 |
|     2019mhm |      1 | 19:11:24.060 | -57:03:18.00 | 2019-08-02 |    16.6 |        --- |  99.9 |            IIP |  0.010570 |      0 |      1 |      0 |      0 |   1 |        0 |
|     2019lzy |      1 | 22:09:20.352 | +14:20:49.63 | 2019-07-24 |   21.24 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019lro |      1 | 23:07:35.210 | -04:30:36.22 | 2019-07-23 |   16.84 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019lij |      1 | 03:33:12.742 | +82:26:14.45 | 2019-07-14 |  17.324 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019lpy |      1 | 20:58:34.620 | -27:58:34.42 | 2019-07-21 |  17.402 |        --- |  99.9 |             Ia |     0.032 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019ltt |      1 | 07:15:43.300 | -71:55:10.02 | 2019-07-24 |   15.75 |        --- |  99.9 |             Ia |  0.017779 |      0 |      1 |      0 |      0 |   1 |        0 |
|     2019llj |      1 | 02:26:32.328 | +21:06:53.61 | 2019-07-17 |  16.276 |        --- |  99.9 |             CV |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019lri |      1 | 10:32:02.630 | -63:42:37.76 | 2019-07-06 |   17.31 |        --- |  99.9 |            unk |  0.012528 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019lqa |      1 | 22:34:18.030 | -56:41:07.94 | 2019-07-17 |   16.58 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019lqo |      1 | 11:28:32.460 | +58:33:44.82 | 2019-07-21 |   18.33 |        --- |  99.9 |            unk |     0.010 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019lek |      1 | 11:48:43.670 | +14:03:04.31 | 2019-07-12 |   16.78 |        --- |  99.9 |             Ia |  0.010630 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019knz |      1 | 14:42:59.275 | +04:53:04.45 | 2019-07-03 |   22.09 |        --- |  99.9 |            unk |  0.005457 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019knt |      1 | 10:35:50.419 | -34:16:22.04 | 2019-07-03 |    17.2 |        --- |  99.9 |             Ia |  0.012826 |      0 |      1 |      0 |      0 |   1 |        0 |
|     2019khf |      1 | 11:41:27.641 | -38:38:03.62 | 2019-07-03 |    17.3 |        --- |  99.9 |             Ia |  0.013756 |      0 |      1 |      0 |      0 |   1 |        0 |
|     2019jyw |      1 | 01:06:30.215 | -02:11:56.33 | 2019-06-28 |   15.91 |        --- |  99.9 |            unk |  0.011638 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019ihd |      1 | 08:58:49.400 | +06:17:47.80 | 2019-06-26 |    16.8 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019iex |      1 | 23:51:03.612 | +20:08:43.69 | 2019-06-26 |   17.58 |        --- |  99.9 |            unk |  0.014046 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019icv |      1 | 22:18:46.300 | -36:48:06.05 | 2019-06-24 |    16.0 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019hyk |      1 | 14:17:57.917 | +26:25:17.36 | 2019-06-22 |    17.1 |        --- |  99.9 |             II |  0.014744 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019hxc |      1 | 11:35:22.843 | -21:42:54.91 | 2019-06-21 |  17.209 |        --- |  99.9 |             Ia |  0.012158 |      0 |      1 |      0 |      0 |   1 |        0 |
|     2019hvv |      1 | 01:14:24.368 | -07:28:31.68 | 2019-06-20 |  17.738 |        --- |  99.9 |             Ia |  0.018126 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019hvp |      1 | 12:14:53.525 | -23:54:29.70 | 2019-06-20 |    15.5 |        --- |  99.9 |            unk |       n/a |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019hun |      1 | 21:47:27.312 | +22:10:01.21 | 2019-06-12 |   20.91 |        --- |  99.9 |            unk |  0.006131 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019htn |      1 | 14:20:29.180 | -52:21:40.18 | 2019-06-17 |   17.98 |        --- |  99.9 |            unk |  0.014411 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019hsw |      1 | 09:20:33.698 | +64:04:22.87 | 2019-06-18 |    15.4 |        --- |  99.9 |             II |  0.005779 |      1 |      1 |      0 |      0 |   0 |        0 |
|     2019hph |      1 | 12:54:18.370 | -41:49:24.35 | 2019-06-14 |   17.43 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019hlv |      1 | 19:40:27.859 | -51:01:14.92 | 2019-06-12 |    17.0 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019hez |      1 | 17:49:43.963 | +48:27:36.05 | 2019-06-07 |    18.8 |        --- |  99.9 |             Ia |    0.0113 |      0 |      1 |      0 |      0 |   1 |        0 |
|     2019gdj |      1 | 19:07:03.820 | +29:00:12.17 | 2019-05-28 |    18.5 |        --- |  99.9 |            unk |  0.013062 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019gsc |      1 | 14:37:45.204 | +52:43:36.31 | 2019-06-02 |   19.66 |        --- |  99.9 | Iax[02cx-like] |  0.011288 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019gbt |      1 | 09:00:23.880 | +25:36:51.16 | 2019-05-28 |    17.0 | 2019-06-04 |  14.9 |            unk |   0.00598 |      0 |      1 |      0 |      0 |   0 |        0 |
